,Site,Col_Company,Col_Recruit,Col_Detali,Col_Url
0,jobkorea,스피치로그㈜,"신입/경력직 데이터분석, 데이터컨설팅,분석보고 작성 및 PT","['경력무관', '초대졸↑', '정규직', '서울 용산구', '~06/19(목)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46999101?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1&sc=631
1,jobkorea,네이버파이낸셜,[네이버페이] 대쉬보드(데이터분석) 플랫폼 운영 담당자 (계약직),"['경력1년↑', '초대졸↑', '계약직', '경기 성남시', 'D-5']",https://www.jobkorea.co.kr/Recruit/GI_Read/47018128?Oem_Code=C1&logpath=1&stext=데이터분석&listno=2&sc=632
2,jobkorea,더치트주식회사,데이터 애널리스트 / 데이터분석 전문가 / 통계 전문가 / Data Analyst (통,"['경력무관', '대졸↑', '정규직 외 1', '서울 구로구', '~06/18(수)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46992681?Oem_Code=C1&logpath=1&stext=데이터분석&listno=3&sc=631
3,jobkorea,연이,데이터분석 준전문가 자격증 온라인 강의 교사 채용,"['경력2년↑', '학력무관', '프리랜서', '서울 광진구', '~06/24(화)']",https://www.jobkorea.co.kr/Recruit/GI_Read/47025318?Oem_Code=C1&logpath=1&stext=데이터분석&listno=4&sc=631
4,jobkorea,㈜지바이크,[지쿠] 전략마케팅팀 데이터분석 전문가 경력 채용,"['경력3년↑', '대졸↑', '정규직', '서울 강남구', '상시채용']",https://www.jobkorea.co.kr/Recruit/GI_Read/46821219?Oem_Code=C1&logpath=1&stext=데이터분석&listno=5&sc=632
5,jobkorea,콘센트릭스서비스코리아(유),[Catalyst] 데이터분석 인턴,"['경력무관', '학력무관', '인턴', '서울 강남구', 'D-2']",https://www.jobkorea.co.kr/Recruit/GI_Read/46959678?Oem_Code=C1&logpath=1&stext=데이터분석&listno=6&sc=631
6,jobkorea,㈜트리노드(TreenodInc.),[서울/경력 7년 이상] 데이터분석팀- 데이터 분석 리더,"['경력7년↑', '학력무관', '정규직', '서울 강남구', '~06/21(토)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46846805?Oem_Code=C1&logpath=1&stext=데이터분석&listno=7&sc=631
7,jobkorea,㈜모모랩스,[모모랩스]  데이터분석팀 채용,"['신입·경력1년↑', '학력무관', '정규직', '서울 강남구', '~06/29(일)']",https://www.jobkorea.co.kr/Recruit/GI_Read/47058712?Oem_Code=C1&logpath=1&stext=데이터분석&listno=8&sc=631
8,jobkorea,한패스㈜,[한패스(주)/데이터분석팀] Google Analytics  데이터분석가,"['경력3년↑', '대졸↑', '정규직', '서울 성동구', '~06/20(금)']",https://www.jobkorea.co.kr/Recruit/GI_Read/47005751?Oem_Code=C1&logpath=1&stext=데이터분석&listno=9&sc=631
9,jobkorea,휴먼교육센터,[국비무료/숙식무료]AI/빅데이터분석/풀스택/KDT심화(무료숙식제공),"['신입·경력', '학력무관', '연수생/교육생', '서울 영등포구 외 14', '~06/13(금)']",https://www.jobkorea.co.kr/Recruit/GI_Read/47049389?Oem_Code=C1&logpath=1&stext=데이터분석&listno=10&sc=631
10,jobkorea,제이투케이,파이썬 인공지능 데이터분석으로 퀀트 개발하실 분 구합니다,"['경력무관', '학력무관', '정규직 외 2', '서울 서초구', '상시채용']",https://www.jobkorea.co.kr/Recruit/GI_Read/46981580?Oem_Code=C1&logpath=1&stext=데이터분석&listno=11&sc=631
11,jobkorea,롯데손해보험㈜,"장기상품개발, 재무회계, 데이터분석, 일반보험 상품개발/UW 경력채용","['경력', '학력무관', '정규직 외 1', '서울 중구', '~06/12(목)']",https://www.jobkorea.co.kr/Recruit/GI_Read/47059934?Oem_Code=C1&logpath=1&stext=데이터분석&listno=12&sc=632
12,jobkorea,㈜리만코리아,[서울] 영업기획 및 데이터분석 (주임-대리),"['경력3년↑', '학력무관', '정규직', '서울 강남구', '~06/09(월)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46931270?Oem_Code=C1&logpath=1&stext=데이터분석&listno=13&sc=631
13,jobkorea,두산에너빌리티㈜,2025 채용연계형 인턴십 - 데이터분석 기반 AI 모델 개발,"['신입', '석사↑', '인턴', '경기 성남시', '~06/09(월)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46991212?Oem_Code=C1&logpath=1&stext=데이터분석&listno=14&sc=632
14,jobkorea,㈜이젠아카데미,SQLD/ADSP/FDA자격증 빅데이터분석 평일/주말(토요일) 강사 채용,"['신입·경력', '초대졸↑', '정규직 외 2', '서울 서초구', '~06/11(수)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46788736?Oem_Code=C1&logpath=1&stext=데이터분석&listno=15&sc=631
15,jobkorea,메가스터디컴퓨터아카데미학원,"[메가스터디IT] 파이썬, 데이터분석 강사 채용 (방학특강)","['경력', '학력무관', '계약직', '서울 강남구', '~06/18(수)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46986631?Oem_Code=C1&logpath=1&stext=데이터분석&listno=16&sc=631
16,jobkorea,㈜커리어게이트,"[메가스터디IT] 파이썬, 데이터분석, ai기초 강사 채용","['경력', '초대졸↑', '계약직 외 1', '서울 강남구', '~06/18(수)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46989102?Oem_Code=C1&logpath=1&stext=데이터분석&listno=17&sc=631
17,jobkorea,㈜엑셀리언트,"(삼성동) 사업 및 영업관리자 모집 (디지털 마케팅, 데이터분석 회사)","['경력무관', '초대졸↑', '정규직', '서울 강남구', '~06/16(월)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46981500?Oem_Code=C1&logpath=1&stext=데이터분석&listno=18&sc=631
18,jobkorea,㈜네피리티,[(주)네피리티/서울] 데이터분석 및 AI모델 개발 모집,"['신입·경력', '대졸↑', '정규직 외 1', '서울 서초구', '~06/12(목)']",https://www.jobkorea.co.kr/Recruit/GI_Read/46954203?Oem_Code=C1&logpath=1&stext=데이터분석&listno=19&sc=631
19,jobkorea,팀스파르타㈜,"[기업교육] 실시간 강의 튜터 (Python, 데이터분석, AI 활용)","['경력3년↑', '학력무관', '정규직', '서울 강남구', '~07/20(일)']",https://www.jobkorea.co.kr/Recruit/GI_Read/47004584?Oem_Code=C1&logpath=1&stext=데이터분석&listno=20&sc=632
