,Site,Col_Company,Col_Recruit,Col_Detali,Col_Url
0,데이터분석,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴 ,서울 강남구 신입 대졸↑ 인턴직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50715242&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
1,데이터분석,(주)핀커스코리아,공공기관(삼성역) 데이터분석 부문 채용 ,서울 강남구 경력무관 초대졸↑ 계약직 273 만원 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50743612&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
2,데이터분석,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집 ",서울 강남구 경력무관 대졸↑ 인턴직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50703185&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
3,데이터분석,(주)핀인사이트,인턴 데이터분석가를 모집합니다. ,서울 영등포구 신입 대졸↑ 계약직·인턴직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50703782&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
4,데이터분석,(주)모모랩스,통계팀(데이터분석) 채용 - 경험자 우대 ,서울 강남구 경력무관 학력무관 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50913024&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
5,데이터분석,(주)우아한형제들,프로덕트데이터분석팀 Business Analyst 모집 ,서울 송파구 신입·경력 대졸↑ 정규직·인턴직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50902775&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
6,데이터분석,(주)우아한형제들,푸드사업데이터분석팀 Business Analyst 모집 ,서울 송파구 신입·경력 대졸↑ 정규직·인턴직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50902917&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
7,데이터분석,콘센트릭스서비스코리아(유),[Catalyst] 데이터분석 인턴 (3개월 후 정규전환형) ,서울 강남구 경력1년↑ 학력무관 정규직·인턴직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50696302&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
8,데이터분석,(주)퍼플아카데미,데이터분석가 신입/경력 채용 , 서울전체 신입·경력 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50834369&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
9,데이터분석,(주)디리아,데이터분석 및 데이터엔지니어 채용(신입/경력) ,서울 서초구 경력무관 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50837148&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
10,데이터분석,(주)해양정보기술,빅데이터분석 및 딥러닝 부문채용 ,서울 금천구 경력무관 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50873156&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
11,데이터분석,클라우드호스피탈(주),환자상담 및 데이터분석 매니저 Patient Manager & Data Analyst ,서울 강남구 경력무관 학력무관 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50841845&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
12,데이터분석,(주)지바이크,[공유모빌리티 No.1 지쿠] 전략마케팅팀 데이터분석 전문가 모집 ,서울 강남구 경력3년↑ 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50502925&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
13,데이터분석,넛지헬스케어(주),[넛지헬스케어] 데이터분석가 - 석사/박사 ,서울 강남구 경력무관 석사↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50715245&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
14,데이터분석,트리노드(주),[서울/경력 7년 이상] 데이터분석팀- 데이터 분석 리더 ,서울 강남구 경력7년↑ 학력무관 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50570550&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
